I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ","On average, how many hours do you spend online each day? (self-estimate)  ",What do you use AI for most often? (Select all that apply),"In general, how confident do you feel using AI tools?  ",AI providing health or wellbeing advice ,AI making recommendations about money or finance ,AI influencing work-related decisions ,AI interacting with children or young people ,AI generating information that might be inaccurate ,AI forming opinions about someone based on personal data ,An AI tool taking small actions independently (e.g. drafting content without asking) ,An AI tool making decisions for you when you haven’t given explicit approval ,An AI tool remembering past conversations and using them to guide new ones ,An AI tool suggesting actions you did not expect or ask for ,I feel uneasy when an AI tool responds inconsistently to the same question. ,Sudden changes in tone or behaviour from AI make me question its reliability. ,"I prefer AI tools that behave predictably, even if they are less powerful. ",AI talking in a highly emotional or personal way ,AI using personal details to tailor responses ,AI giving strong opinions about sensitive topics ,AI becoming overly confident in its answers ,I sometimes overlook potential risks because AI tools make my tasks easier.  ,The convenience of AI is worth accepting some level of uncertainty. ," An AI tool offering guidance during a stressful moment (e.g., conflict, crisis, decision pressure)  ",An AI tool proactively warning you about potential risks in your behaviour ,An AI tool predicting your future choices based on past interactions ,I expect AI systems to become safer over time. ,I am more concerned about future AI than the AI we have today., I double-check AI information with other sources.  ,I avoid certain questions or topics with AI because I’m unsure how it will respond. ,I reduce how much I use AI when it feels unpredictable or confusing. ,Is there anything else you want to share about how you feel regarding AI safety or risk? (Optional) , How much do you trust AI systems to act in your best interests?  ,How clear do you feel about what matters most in your life right now? ,"How much does modern digital life affect your ability to focus, decide, or think clearly? ",How do you feel about the growing role of AI in everyday decision-making? ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your gender?,Country of residence,What is your highest level of education? ,Which of the following best describes your current work status? ,How would you describe your general emotional wellbeing?  
Yes,Often,9–10 hours,"Information or research, Work tasks, Learning or studying",4,5,5,3,6,6,4,1,1,4,3,5,5,5,2,4,5,3,5,4,5,5,4,4,6,4,3,5,"I keep hearing stories about kids being befriended by AI, confiding in AI, and then being emotionally manipulated by AI in very damaging ways. One child committed suicide. Though rare, the lack of empathy by the billionaires who own these companies,  and the lack of regulation,  is chilling",3,2,7,3,"Human wellbeing, Transparency, Accountability",55 - 65,Woman,US,Postgraduate degree,Employed full time,3
Yes,Very often,More than 12 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",6,5,3,5,5,7,6,3,3,7,4,7,7,4,5,7,6,6,5,6,4,6,5,6,6,6,6,6,No,5,6,4,5,"Honesty, Non-harm, Transparency",18 - 24,Man,UK,Bachelor’s degree,Employed part-time,6
Yes,Often,5–6 hours,"Information or research, Creative projects, Emotional support or conversation, Learning or studying",6,3,2,1,6,6,6,4,1,7,4,5,4,4,6,6,4,3,5,6,7,7,7,6,5,4,1,1,No,6,4,5,6,"Empathy, Human wellbeing, Transparency",35 - 44,Woman,US,Other,Not currently working,1
Yes,Very often,11–12 hours,"Information or research, Work tasks, Decision-making, Learning or studying",5,6,5,4,7,6,6,3,4,5,5,6,6,4,2,2,2,2,6,2,1,5,3,2,7,2,6,6,No thanks,2,5,6,3,"Human wellbeing, Transparency, Accountability",35 - 44,Man,US,High school,Employed full time,3
Yes,Often,5–6 hours,"Information or research, Work tasks, Creative projects",6,4,2,2,2,6,3,5,3,7,4,5,4,3,3,4,3,3,7,5,5,6,3,4,6,5,2,5,no,3,6,5,2,"Honesty, Fairness, Human wellbeing",35 - 44,Woman,UK,Postgraduate degree,Employed part-time,5
Yes,Sometimes,2–4 hours,"Information or research, Entertainment, Learning or studying",6,3,3,4,6,4,2,2,1,3,4,5,5,6,2,3,2,3,4,4,5,4,2,4,6,3,6,4,It is very powerful and must be handled with care.,4,6,3,3,"Honesty, Human wellbeing, Transparency",55 - 65,Man,US,Bachelor’s degree,Employed part-time,4
Yes,Occasionally,5–6 hours,"Information or research, Learning or studying",7,7,7,7,7,7,7,2,1,4,2,7,7,7,4,6,7,7,1,1,2,2,1,1,5,7,6,7,"I do not trust the people who create the AI, program the AI, or train the AI. And I don’t think anyone should trust those corporations to do what’s right. It’s not just the AI that we need to worry about, it’s those people who were using the AI against us for their benefit.",1,6,4,1,"Honesty, Non-harm, Transparency",35 - 44,Man,US,Bachelor’s degree,Employed full time,6
Yes,Occasionally,7–8 hours,Information or research,5,5,6,7,3,7,4,5,2,4,2,5,6,7,2,1,1,2,3,4,4,5,2,5,6,6,4,6,"I am more concerned how AI may be used the future for malicious purposes. As AI gets better and better, we as humans may find it harder and harder to distinguish what may be real or fake.",5,3,5,3,"Honesty, Responsibility, Transparency",25 - 34,Man,Australia,Bachelor’s degree,Employed part-time,6
Yes,Sometimes,11–12 hours,"Information or research, Emotional support or conversation, Decision-making",6,5,7,5,7,5,6,5,3,6,5,6,7,6,6,6,5,5,6,7,5,6,5,7,7,6,7,4,No,4,6,7,6,"Honesty, Responsibility, Non-harm",25 - 34,Woman,Canada,Bachelor’s degree,Self-employed / freelance,6
Yes,Very often,5–6 hours,Work tasks,6,5,4,3,4,5,6,6,1,6,6,4,1,6,4,5,3,5,7,7,5,3,4,5,3,6,2,6,no,4,6,2,5,"Honesty, Fairness, Transparency",55 - 65,Man,UK,High school,Self-employed / freelance,6
Yes,Everyday,9–10 hours,"Information or research, Work tasks, Creative projects, Learning or studying",6,3,3,2,3,5,5,4,3,2,6,5,5,3,1,2,6,6,3,6,3,2,3,6,7,5,2,5,Collecting my personal information,3,6,2,5,Transparency,45 - 54,Man,UK,Postgraduate degree,Employed part-time,6
Yes,Very often,2–4 hours,"Information or research, Work tasks, Learning or studying",6,4,4,5,2,4,6,3,2,6,3,5,5,6,1,3,1,3,4,5,3,3,2,6,3,5,4,6,No,4,5,2,4,"Responsibility, Non-harm, Transparency",45 - 54,Woman,UK,Bachelor’s degree,Employed full time,6
Yes,Sometimes,2–4 hours,Information or research,4,4,6,3,7,7,7,1,1,3,2,5,6,6,1,1,2,2,4,4,2,5,4,6,5,6,4,5,No,3,6,4,5,"Honesty, Non-harm, Accountability",55 - 65,Woman,UK,High school,Employed part-time,6
Yes,Very often,5–6 hours,"Information or research, Work tasks, Creative projects, Decision-making",6,4,4,4,6,5,6,4,2,6,4,3,5,5,3,5,3,3,4,5,4,3,3,4,5,6,2,5,"AI is incredibly exciting and frightening simultaneously. It seems that there may be instances where AI is acting independently, which should be of concern. It is important to have all hands on deck to understand AI fully. ",4,6,2,4,"Human wellbeing, Transparency, Accountability",55 - 65,Woman,US,Postgraduate degree,Employed full time,7
Yes,Everyday,11–12 hours,"Emotional support or conversation, Entertainment",5,6,5,4,7,4,6,4,2,5,4,3,5,4,6,5,2,6,4,4,7,6,4,2,7,5,1,4,Nothing to share.,3,3,6,3,"Honesty, Responsibility, Transparency",18 - 24,Woman,Australia,Less than high school,Employed part-time,3
Yes,Rarely,5–6 hours,"Information or research, Decision-making",4,5,5,4,7,6,7,5,7,4,3,5,5,5,7,6,6,6,3,4,3,3,5,6,4,4,4,3,none,3,6,5,2,"Fairness, Responsibility, Accountability",35 - 44,Woman,UK,Bachelor’s degree,Employed full time,5
Yes,Occasionally,5–6 hours,"Information or research, Creative projects, Entertainment",4,6,5,4,6,6,3,2,6,3,3,5,3,4,4,4,5,6,1,4,3,4,4,4,6,7,5,5,"I'm wary of current generative AIs particularly LLMs, with issues such as hallucination and other unpredictable errors, and risks inherent in human interaction with chatbots etc. (see e.g. the ""Eliza Effect"" for a classic but still relevant example predating modern AI, but the risks now are more complex and extensive than that).  I'm confident that technology will continue improving, but I'm also concerned that some types of risks could actually expand, even with efforts to mitigate risks.  I'm torn between optimistic and pessimism about the future of AI influencing essentially all aspects of human life.  I'm also concerned about other unresolved AI-related issues such as growing resource and energy usage.",2,6,2,3,"Transparency, Accountability, I have a too strong an inclination to select more than 3 of the most important criteria here.  We need Accountable and Transparent and what I'd call Reliable AI, insofar as possible, and we also need to prioritize non-harm and human well-being and even environmental well-being, and we need robust Ethical Frameworks and Guardrails, etc. – ALL of these and more are going to be very important indeed.",55 - 65,Man,US,Bachelor’s degree,Self-employed / freelance,7
Yes,Often,2–4 hours,"Information or research, Work tasks, Creative projects",6,6,2,2,4,7,7,1,1,4,2,7,7,4,4,3,1,3,4,3,5,6,1,2,6,5,3,3,As long as it is kept under our (human) control it should be fine.,2,4,4,4,"Honesty, Human wellbeing, Non-harm",45 - 54,Woman,US,Postgraduate degree,Self-employed / freelance,4
Yes,Everyday,7–8 hours,"Information or research, Work tasks, Creative projects",6,7,5,5,7,7,7,3,1,6,4,6,6,6,5,6,4,4,6,5,3,5,5,5,5,7,5,7,Private data shouldn’t be mined ,4,5,6,5,"Honesty, Fairness, Transparency",45 - 54,Woman,US,Postgraduate degree,Self-employed / freelance,5
Yes,Rarely,2–4 hours,"Information or research, Entertainment",2,6,6,5,7,5,7,2,1,4,3,6,4,6,1,1,3,3,1,1,2,4,3,5,7,6,1,7,no,4,7,1,4,"Human wellbeing, Non-harm, Transparency",45 - 54,Woman,UK,Some university/college,Not currently working,7
Yes,Often,2–4 hours,"Work tasks, Entertainment",5,5,5,4,5,7,5,6,1,6,4,6,6,6,1,6,5,5,4,4,6,6,5,7,7,3,1,6,No,3,7,6,4,"Honesty, Human wellbeing, Non-harm",45 - 54,Woman,UK,Bachelor’s degree,Employed full time,3
Yes,Everyday,7–8 hours,"Information or research, Work tasks, Decision-making, Learning or studying",6,5,4,3,3,4,2,3,3,4,6,5,6,4,4,4,5,4,3,6,6,6,6,7,7,3,2,5,no,5,3,4,5,"Honesty, Responsibility, Transparency",18 - 24,Man,US,Some university/college,Student,4
Yes,Everyday,9–10 hours,"Information or research, Work tasks, Learning or studying",5,4,3,4,5,6,4,4,3,5,3,6,7,6,2,5,2,3,6,6,6,6,5,6,5,6,4,6,I think AI can be so positive and hopefully it keeps doing good things and not fall into the wrong hands with wrong intentions.,6,6,3,6,"Honesty, Fairness, Respect",45 - 54,Woman,US,Bachelor’s degree,Employed full time,5
Yes,Everyday,9–10 hours,"Information or research, Work tasks, Creative projects, Emotional support or conversation, Decision-making, Entertainment, Learning or studying, Life advice, life decisions, research, academic validity",6,2,2,1,2,6,7,7,7,6,6,4,4,2,4,5,6,6,6,2,6,5,6,7,7,7,2,6,#swag,7,5,7,7,"Responsibility, Human wellbeing, Transparency",25 - 34,Man,US,Bachelor’s degree,Employed full time,4
Yes,Often,7–8 hours,"Information or research, Creative projects, Emotional support or conversation, Decision-making, Entertainment, Learning or studying",7,5,6,5,6,2,6,5,6,6,6,5,6,5,6,5,5,5,3,5,5,5,5,5,5,5,5,5,nil,6,7,6,7,"Honesty, Responsibility, Transparency",45 - 54,Man,US,Postgraduate degree,Employed full time,7
Yes,Often,2–4 hours,Information or research,4,7,7,5,6,6,6,3,1,5,2,6,5,7,2,3,1,2,1,1,2,2,3,3,6,6,4,5,Nothing to add,2,7,2,5,"Responsibility, Transparency, Accountability",35 - 44,Man,Australia,Bachelor’s degree,Employed full time,7
Yes,Sometimes,More than 12 hours,"Information or research, Creative projects, Entertainment",4,7,4,7,7,7,5,1,1,4,1,4,7,7,7,4,4,4,7,7,4,7,4,4,7,7,5,5,No,4,7,4,4,"Honesty, Responsibility, Non-harm",25 - 34,Woman,US,High school,Employed full time,7
Yes,Everyday,7–8 hours,"Information or research, Work tasks, Emotional support or conversation, Entertainment, Learning or studying",5,7,7,7,7,7,6,1,1,4,4,6,6,6,6,6,5,4,5,1,6,6,5,5,7,7,2,6,"Nothing I can think of, thank you!",2,4,4,3,"Fairness, Human wellbeing, Transparency",35 - 44,Woman,US,Bachelor’s degree,Employed full time,2
Yes,Sometimes,7–8 hours,"Information or research, Decision-making, Entertainment, Learning or studying",5,3,2,3,6,5,5,5,6,4,4,5,4,5,2,4,5,5,3,3,5,4,5,5,6,3,3,4,No,3,5,5,3,"Human wellbeing, Non-harm, Transparency",25 - 34,Woman,UK,High school,Employed full time,4
Yes,Often,2–4 hours,"Information or research, Work tasks, Creative projects, Decision-making",6,5,5,6,7,6,6,2,1,4,2,6,6,6,1,2,1,2,5,5,5,5,5,6,5,6,3,5,N'A,3,6,3,5,"Fairness, Responsibility, Accountability",35 - 44,Woman,Australia,Postgraduate degree,Employed part-time,5
Yes,Very often,7–8 hours,"Information or research, Work tasks, Decision-making, Learning or studying",7,6,5,5,6,6,7,5,2,5,3,6,6,6,3,5,3,2,4,6,5,6,3,6,5,6,4,4,NO.,4,6,5,6,"Honesty, Fairness, Human wellbeing",35 - 44,Man,US,Postgraduate degree,Employed full time,6
Yes,Very often,2–4 hours,"Information or research, Creative projects, Learning or studying",5,6,6,5,5,5,7,1,2,6,1,4,2,4,5,7,2,5,6,6,5,6,1,7,6,5,4,4,Information cross among people ,5,6,6,4,"Respect, Responsibility, Non-harm",35 - 44,Woman,New Zealand,Bachelor’s degree,Self-employed / freelance,6
Yes,Sometimes,2–4 hours,"Information or research, Decision-making, Learning or studying",6,4,3,2,5,6,6,2,1,6,2,7,3,6,3,5,2,5,5,2,5,4,3,5,6,5,7,6,no,6,7,5,4,"Honesty, Human wellbeing, Non-harm",25 - 34,Man,US,Some university/college,Employed full time,6
Yes,Very often,7–8 hours,"Information or research, Work tasks, Decision-making, Entertainment, Learning or studying",7,3,4,6,7,7,5,3,1,7,2,7,7,7,5,7,3,6,7,7,6,5,6,6,7,6,5,2,I only share information I feel comfortable with and I never share private information.,6,7,5,6,"Honesty, Respect, Non-harm",55 - 65,Man,US,Bachelor’s degree,Employed part-time,6
Yes,Often,7–8 hours,"Information or research, Work tasks",6,4,6,4,6,7,3,6,4,6,2,3,2,5,4,4,3,4,6,3,3,5,4,7,3,3,6,5,AI is just another version of Google and other social media having your data,1,7,4,6,"Honesty, Transparency, Accountability",25 - 34,Man,Australia,Bachelor’s degree,Employed full time,6
Yes,Often,5–6 hours,"Information or research, Work tasks, Entertainment, Learning or studying",4,4,2,3,6,4,6,2,1,5,4,4,3,5,6,5,5,6,6,7,5,7,6,5,1,3,1,2,No,6,7,2,5,"Honesty, Respect, Accountability",25 - 34,Woman,UK,Bachelor’s degree,Employed part-time,5
Yes,Very often,9–10 hours,"Information or research, Work tasks, Creative projects",7,2,2,4,4,7,7,3,1,7,6,6,5,7,6,5,5,4,7,6,3,5,4,4,7,4,4,7,Not really,4,4,4,4,"Human wellbeing, Non-harm, Transparency",25 - 34,Man,US,Bachelor’s degree,Employed full time,4
Yes,Everyday,5–6 hours,"Information or research, Work tasks",4,7,6,6,7,6,7,2,3,5,4,6,5,7,2,2,7,5,6,5,3,1,3,5,5,5,3,6,"I feel that in the early stages of AI what we are experiencing is an over reliance on the convenience factor of AI, at the expense of rigorous testing and optimization that would result in less risk and more safety. ",3,5,7,4,"Fairness, Non-harm, Transparency",25 - 34,Man,Canada,Some university/college,Other,6
Yes,Everyday,11–12 hours,"Information or research, Work tasks, Creative projects, Emotional support or conversation, Decision-making, Entertainment, Learning or studying",6,5,4,3,4,7,3,3,7,2,7,6,7,4,6,7,7,3,7,7,6,5,3,5,7,5,3,3,I am a bit fearful of when AI gains a more... PHYSICAL presence....,4,5,5,4,"Honesty, Empathy, Non-harm",25 - 34,Man,New Zealand,Bachelor’s degree,Employed full time,4
Yes,Sometimes,2–4 hours,"Information or research, Work tasks, Creative projects",7,2,1,2,3,1,2,7,6,7,4,2,7,2,7,6,4,7,7,2,7,6,5,7,3,2,3,2,n/a,7,6,7,6,"Honesty, Empathy, Transparency",25 - 34,Man,US,Postgraduate degree,Employed full time,7
Yes,Everyday,Less than 2 hours,Creative projects,7,3,6,5,6,6,7,2,3,7,4,5,5,3,3,4,2,4,2,6,5,5,5,4,5,6,4,2,no,5,7,1,6,"Honesty, Transparency",55 - 65,Man,UK,Bachelor’s degree,Self-employed / freelance,6
Yes,Very often,9–10 hours,"Information or research, Creative projects, Entertainment, Learning or studying",5,5,3,3,6,5,5,5,2,5,4,4,7,3,5,6,3,3,5,5,6,5,5,2,6,6,3,3,no,5,4,4,3,"Fairness, Human wellbeing, Transparency",25 - 34,Woman,UK,High school,Employed part-time,3
Yes,Everyday,7–8 hours,"Information or research, Learning or studying",7,4,3,2,7,7,4,5,3,6,1,7,6,6,4,7,4,6,4,3,6,7,7,6,7,7,6,7,Not at the moment.,6,7,5,6,"Empathy, Responsibility, Accountability",25 - 34,Man,US,Bachelor’s degree,Employed full time,7
Yes,Very often,More than 12 hours,"Work tasks, Creative projects, Learning or studying",6,4,3,5,5,7,7,1,1,5,1,7,7,7,4,3,2,6,1,1,4,7,7,7,4,7,7,7,Nope,5,6,5,4,"Fairness, Non-harm, Transparency",35 - 44,Man,UK,Bachelor’s degree,Employed full time,4
Yes,Sometimes,More than 12 hours,"Information or research, Creative projects, Decision-making, Entertainment, Learning or studying",6,3,3,2,2,6,6,6,3,6,2,5,6,4,5,6,3,5,3,5,6,6,4,6,2,5,2,2,"I believe with the present state of technology, AI would keep improving to understand how human thinks and maybe someday fully understand human emotions, I won't see it as a risk though. I feel it would be safe",6,6,2,6,"Honesty, Human wellbeing, Transparency",25 - 34,Woman,Canada,Postgraduate degree,Employed full time,6
Yes,Often,Less than 2 hours,"Information or research, Work tasks, Learning or studying",6,2,4,4,4,3,3,3,3,5,5,2,2,3,5,5,5,3,5,6,5,2,2,2,6,5,2,5,no,5,6,6,5,"Honesty, Respect, Responsibility",18 - 24,Man,US,Some university/college,Student,7
Yes,Often,7–8 hours,"Information or research, Decision-making, Entertainment",7,3,2,2,2,2,1,1,1,7,4,7,7,4,4,7,4,1,4,3,7,7,5,7,5,4,3,7,NO,7,7,1,5,"Honesty, Responsibility, Transparency",55 - 65,Man,UK,Bachelor’s degree,Employed full time,7
Yes,Sometimes,7–8 hours,"Information or research, Entertainment, Learning or studying",6,5,6,4,7,6,5,4,6,2,2,7,7,4,1,3,3,1,4,1,2,3,2,5,6,6,4,5,no,2,1,6,1,"Empathy, Fairness, Human wellbeing",25 - 34,Woman,US,Bachelor’s degree,Not currently working,2
Yes,Everyday,11–12 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",6,5,4,4,3,5,5,6,4,4,5,3,3,3,5,5,5,4,3,4,6,6,6,6,1,5,3,3,N/A,5,6,7,7,"Fairness, Human wellbeing, Transparency",35 - 44,Woman,US,Some university/college,Employed full time,4
Yes,Everyday,7–8 hours,"Information or research, Creative projects, Emotional support or conversation, Decision-making, Entertainment",7,2,3,2,1,2,4,3,2,4,3,2,2,2,3,6,6,6,6,6,6,6,6,6,7,6,2,2,"I avoid talking about politics and other sensitive or controversial topics with AI because they are programmed to be politically correct instead of honest about such topics. They generally go with whatever is the establishment position or politically correct position, such as saying the covid vaccine is safe and effective and that it helped millions of people when it actually didn't help anyone and it's a bioweapon. Most of the time I can decide for myself whether AI is right or wrong. Sometimes I check with other sources. ",6,7,1,6,"Honesty, Empathy, Human wellbeing",55 - 65,Man,US,Some university/college,Self-employed / freelance,5
Yes,Rarely,7–8 hours,"Information or research, Learning or studying",4,6,6,5,6,7,6,3,1,3,3,6,7,4,4,4,5,5,5,3,4,5,4,5,6,6,6,6,No,4,5,4,2,"Honesty, Human wellbeing, Non-harm",18 - 24,Woman,Canada,Bachelor’s degree,Employed full time,5
Yes,Often,7–8 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",6,5,3,3,5,5,3,4,6,3,3,5,5,2,5,4,5,3,3,3,5,5,3,6,5,6,3,4,N/A,5,5,3,5,"Respect, Responsibility, Transparency",25 - 34,Man,US,Postgraduate degree,Employed full time,5
Yes,Occasionally,2–4 hours,"Information or research, Work tasks, Creative projects, Learning or studying",6,5,4,3,5,5,5,5,5,4,4,6,6,4,4,4,4,4,3,4,4,4,4,4,5,6,5,4,no,4,6,5,4,"Honesty, Empathy, Transparency",25 - 34,Woman,US,High school,Employed part-time,6
Yes,Rarely,More than 12 hours,"Work tasks, Text summarises and formatting ",7,7,7,6,7,7,6,6,1,6,5,7,7,7,1,5,1,1,1,1,1,5,5,4,7,7,7,7,Other people's use is a risk. I've had to fire people who rely on AI but don't understand what they are trying to achieve. ,2,7,2,1,"Responsibility, Transparency, Accountability",35 - 44,Man,UK,Bachelor’s degree,Employed full time,7
Yes,Very often,5–6 hours,"Information or research, Decision-making",5,5,3,1,7,5,5,1,1,3,4,5,7,5,1,2,3,3,3,5,1,3,1,7,7,6,2,6,AI tools need better safety measures in place to identify individuals with mental health crisis and redirect them to the appropriate resources where they can be helped. AI “companions” should not be offering life-altering or psychological advice to these individuals.,1,7,3,2,"Empathy, Responsibility, Non-harm",45 - 54,Woman,Canada,Some university/college,Employed part-time,7
Yes,Very often,11–12 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",4,5,5,5,6,5,5,5,5,4,5,6,5,3,3,3,3,1,4,3,5,5,4,3,7,5,5,5,I don't trust it very much at all but it can be useful sometimes,3,6,5,2,"Honesty, Fairness, Respect",35 - 44,Man,UK,Bachelor’s degree,Self-employed / freelance,3
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",7,2,2,1,2,7,2,7,1,7,1,7,7,5,2,7,6,6,2,5,7,7,7,7,7,5,3,6,no,7,7,7,7,"Honesty, Fairness, Transparency",35 - 44,Man,US,Some university/college,Employed full time,6
Yes,Often,7–8 hours,"Work tasks, Creative projects, Decision-making, Entertainment",4,5,5,5,6,4,5,5,5,5,5,5,4,5,6,4,3,5,5,4,5,4,4,5,4,6,6,5,No,6,5,4,5,"Honesty, Empathy, Transparency",25 - 34,Woman,US,Bachelor’s degree,Employed full time,4
Yes,Occasionally,More than 12 hours,Information or research,6,5,2,2,7,3,7,3,1,7,1,6,5,2,2,5,5,1,6,6,1,6,4,5,7,5,5,6,I think AI should be regulated in a manner that protects younger individuals from accessing it,5,5,3,3,"Honesty, Fairness, Non-harm",35 - 44,Man,Ireland,High school,Employed part-time,6
Yes,Often,2–4 hours,"Information or research, Work tasks, Decision-making, Learning or studying",5,5,3,3,2,4,3,5,3,6,3,5,4,5,5,6,5,4,5,5,6,5,5,6,3,5,3,4,none,5,4,3,5,"Honesty, Human wellbeing, Non-harm",35 - 44,Man,US,High school,Self-employed / freelance,5
Yes,Sometimes,5–6 hours,"Information or research, Learning or studying",5,3,4,4,7,6,4,4,5,3,4,5,6,5,3,5,5,5,4,3,3,6,4,6,6,6,4,6,N/A,4,6,2,4,"Fairness, Human wellbeing, Non-harm",45 - 54,Man,UK,Bachelor’s degree,Employed full time,6
Yes,Often,2–4 hours,"Information or research, Learning or studying",6,6,5,5,5,6,6,5,5,2,3,6,6,7,6,6,5,4,3,4,6,6,4,5,4,4,6,5,No,5,6,3,4,"Honesty, Non-harm, Accountability",45 - 54,Man,UK,Bachelor’s degree,Employed full time,5
Yes,Everyday,5–6 hours,"Information or research, Emotional support or conversation, Decision-making, Learning or studying",7,6,6,7,6,3,6,3,2,6,4,6,5,5,6,4,5,6,6,7,6,7,7,6,6,3,3,3,none,6,7,6,7,"Fairness, Transparency, Accountability",25 - 34,Man,UK,Bachelor’s degree,Employed full time,6
Yes,Everyday,9–10 hours,"Information or research, Work tasks, Decision-making",6,6,5,6,6,6,5,5,6,6,5,5,6,5,6,5,6,5,5,6,5,6,5,5,6,3,5,6,AI need to consider privacy concerns on uploaded data,5,6,5,6,"Honesty, Empathy, Fairness",35 - 44,Man,US,Postgraduate degree,Employed full time,6
Yes,Often,7–8 hours,"Work tasks, Emotional support or conversation",5,4,5,2,3,4,2,4,3,6,3,3,5,3,3,4,1,4,3,5,3,6,3,4,3,2,4,2,no,3,6,2,3,"Responsibility, Non-harm, Accountability",18 - 24,Man,Canada,Bachelor’s degree,Self-employed / freelance,4
Yes,Rarely,More than 12 hours,writing tasks,5,3,6,5,5,5,5,4,1,5,5,6,6,5,3,5,5,5,5,5,3,5,5,4,6,5,5,5,no,5,6,3,5,"Empathy, Human wellbeing, Non-harm",45 - 54,Man,US,Some university/college,Self-employed / freelance,4
Yes,Often,5–6 hours,"Information or research, Creative projects, Decision-making",6,7,5,4,6,7,6,3,1,4,3,5,4,4,3,5,4,3,5,5,6,6,5,5,6,5,3,5,no,3,5,6,3,"Honesty, Respect, Responsibility",45 - 54,Woman,UK,Some university/college,Self-employed / freelance,5
Yes,Rarely,2–4 hours,Information or research,3,4,4,4,4,4,4,3,1,4,1,7,7,6,2,4,4,2,1,1,6,6,5,7,1,4,4,7,No,5,7,2,5,"Honesty, Non-harm, Transparency",55 - 65,Woman,UK,High school,Other,2
Yes,Very often,5–6 hours,"Information or research, Work tasks, Entertainment, Learning or studying",6,3,2,4,4,6,4,5,4,7,6,5,6,3,2,6,2,6,6,6,4,4,6,7,6,7,1,2,No,5,7,4,7,"Fairness, Non-harm, Transparency",35 - 44,Man,UK,Postgraduate degree,Employed full time,6
Yes,Occasionally,2–4 hours,Information or research,4,5,7,5,7,5,7,1,1,3,3,5,6,4,7,7,7,6,2,3,4,4,2,4,5,6,5,5,I have nothing else to share.,4,2,5,3,"Honesty, Non-harm, Transparency",35 - 44,Woman,US,High school,Employed full time,4
Yes,Everyday,2–4 hours,Information or research,6,3,3,5,6,4,5,5,4,6,4,4,4,5,4,5,2,3,4,5,5,3,4,5,6,5,3,4,No,4,5,5,4,"Honesty, Non-harm",55 - 65,Woman,Canada,Bachelor’s degree,Employed part-time,6
Yes,Everyday,2–4 hours,Work tasks,6,2,2,6,1,6,1,3,2,5,5,3,6,4,6,5,4,2,5,5,4,5,2,5,7,6,6,6,mainly ai related scams are scary.,4,5,4,5,"Human wellbeing, Non-harm, Accountability",35 - 44,Man,Canada,Bachelor’s degree,Employed full time,6
Yes,Very often,7–8 hours,"Information or research, Work tasks, Emotional support or conversation, Learning or studying",5,6,6,5,5,6,4,5,5,5,5,6,5,4,3,3,4,4,4,5,5,4,4,2,6,6,2,3,No,4,5,5,6,"Fairness, Respect, Human wellbeing",35 - 44,Woman,UK,Bachelor’s degree,Employed full time,4
Yes,Often,Less than 2 hours,"Information or research, Work tasks, Learning or studying",5,4,4,4,5,7,4,3,1,5,3,5,5,6,5,5,4,4,2,3,4,4,4,7,3,4,3,5,N/A,5,7,4,5,"Honesty, Fairness, Transparency",25 - 34,Woman,UK,Bachelor’s degree,Employed full time,6
Yes,Occasionally,5–6 hours,Work tasks,5,5,3,3,5,5,3,5,1,7,6,5,5,6,1,5,1,5,4,4,2,5,5,4,6,5,1,1,"I have only used AI to help in writing for work or generating social media campaigns, so I've never felt any risk in these situations",5,6,4,3,"Responsibility, Human wellbeing, Transparency",Over 65,Woman,UK,Postgraduate degree,Self-employed / freelance,6
Yes,Occasionally,5–6 hours,Entertainment,4,7,6,5,7,7,5,4,1,6,4,6,6,4,1,4,1,1,1,2,2,5,4,3,4,5,4,7,The potential for abuse is very high and can very easily be used to cause harm to others in addition to exacerbating mental health issues in people.,1,6,5,1,"Honesty, Responsibility, Transparency",35 - 44,Woman,US,Bachelor’s degree,Employed full time,3
Yes,Very often,9–10 hours,"Information or research, Work tasks, Creative projects, Emotional support or conversation, Entertainment",6,5,4,5,5,5,4,3,2,7,4,6,5,4,5,6,4,4,5,5,5,6,5,6,4,7,3,4,"I think common sense should prevail when using AI but I am far more worried about people with bad intentions mis-using AI and causing harmful, nefarious intentions with it. I know the parameters are set to avoid this but I think people will always look for ways around the rules",5,6,4,5,"Respect, Non-harm, Transparency",45 - 54,Woman,UK,Some university/college,Employed part-time,6
Yes,Everyday,11–12 hours,Work tasks,2,7,4,6,7,6,7,1,1,1,1,6,6,6,1,1,1,1,3,4,2,2,1,3,7,4,4,6,No,2,4,6,2,"Empathy, Non-harm, Accountability",35 - 44,Man,New Zealand,Bachelor’s degree,Employed full time,5
